Grading points,Self Assessment score,Evidence
Video,,
Workload is spread over the whole team,2,https://github.com/Ashwinshankar98/ClassMateBot/graphs/contributors?from=2021-08-29&to=2021-12-12&type=c
Number of commits,3,https://github.com/Ashwinshankar98/ClassMateBot/graphs/contributors?from=2021-08-29&to=2021-12-12&type=c
Number of commits: by different people,2,https://github.com/Ashwinshankar98/ClassMateBot/graphs/contributors?from=2021-08-29&to=2021-12-12&type=c
Issues reports: there are many,2,
Issues are being closed,2,
DOI badge: exists,3,https://zenodo.org/record/5730692
"Docs: doco generated, format not ugly",3,
Docs: what: point descriptions of each class/function (in isolation),3,
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",1,
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",1,
Use of version control tools,3,
Use of style checkers,0,
Use of code formatters.,0,
Use of syntax checkers.,0,
Use of code coverage,3,
Other automated analysis tools,2,
Test cases exist,3,
Test cases are routinely executed,1,
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,
Issues are discussed before they are closed,1,
Chat channel: exists,2,
Test cases: a large proportion of the issues related to handling failing cases.,,
Evidence that the whole team is using the same tools: everyone can get to all tools and files,1,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",0,Didnot find a config file
Evidence that the members of the team are working across multiple places in the code base,1,
Short release cycles,2,
,,
"Question 1.1: Does your website and documentation provide a clear, high-level overview of your software?",Yes,https://github.com/Ashwinshankar98/ClassMateBot#readme 
Question 1.2: Does your website and documentation clearly describe the type of user who should use your software?,Yes,"It's specified that TA, Professors and Students should use it"
Question 1.3: Do you publish case studies to show how your software has been used by yourself and others?,No,
Question 2.1: Is the name of your project/software unique?,No,"It's Classmatebot, A pretty common name"
Question 2.2: Is your project/software name free from trademark violations?,Yes,
Question 3.1: Is your software available as a package that can be deployed without building it?,No,"You have to go to developers section in discord website, and set up the app"
Question 3.2: Is your software available for free?,Yes,
"Question 3.3: Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,
"Question 3.4: Is your software hosted in an established, third-party repository like GitHub, BitBucket, LaunchPad or SourceForge? ",Yes,https://github.com/Ashwinshankar98/ClassMateBot/tree/main
Question 4.1: Is your documentation clearly available on your website or within your software?,Yes,
"Question 4.2: Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,"In readme.md, details of commands to run are given"
"Question 4.3: If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Yes,Readme.md has a video to show how to set up discord bot
"Question 4.4: Do you provide a comprehensive guide to all your software’s commands, functions and options?",Yes,it's given in the end of readme.md
Question 4.5: Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No,
"Question 4.6: If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",No,
Question 4.7: Do you store your documentation under revision control with your source code?,Yes,
